iter	RMSE
132	5.11292623
133	5.103720295
134	5.099955445
135	5.096196301
136	5.092187648
137	5.085330927
138	5.079023041
139	5.074606897
140	5.071438044
141	5.066778274
142	5.062152476
143	5.058155062
144	5.051575453
145	5.046670205
146	5.041776821
147	5.038635338
148	5.034346435
149	5.030274653
150	5.023888421
151	5.01841014
152	5.01188119
153	5.005769987
154	5.000598144
155	4.994412057
156	4.989991161
157	4.985033403
158	4.979888176
159	4.975870437
160	4.967731887
161	4.965944599
162	4.96208223
163	4.958000159
164	4.953039929
165	4.948787986
166	4.946794996
167	4.944064147
168	4.941327184
169	4.937390435
170	4.93328489
171	4.930050275
172	4.924308791
173	4.918823908
174	4.91365769
175	4.909695475
176	4.905917997
177	4.904325873
178	4.89756145
179	4.893528679
180	4.891434926
181	4.888688916
182	4.885349923
183	4.881980225
184	4.879642197
185	4.876529607
186	4.869997152
187	4.867386303
188	4.865319621
189	4.863472964
190	4.858022837
191	4.856149196
192	4.85425037
193	4.84791641
194	4.842869803
195	4.837549928
196	4.832785832
197	4.829524131
198	4.825707062
199	4.820487334
200	4.818327309
201	4.81454371
202	4.809516543
203	4.807988764
204	4.802188108
205	4.796159972
206	4.79171774
207	4.786976697
208	4.782393981
209	4.778663418
210	4.774350979
211	4.769145502
212	4.764655722
213	4.762568297
214	4.757933594
215	4.753716302
216	4.749543814
217	4.74726384
218	4.73979907
219	4.736865871
220	4.734180719
221	4.727144862
222	4.724034822
223	4.719412894
224	4.713707972
225	4.708626102
226	4.706364856
227	4.704408365
228	4.699105276
229	4.696369951
230	4.692574693
231	4.690961646
232	4.6875083
233	4.68421927
234	4.682682092
235	4.67996134
236	4.674142182
237	4.671308345
238	4.667516904
239	4.664448609
240	4.659126336
241	4.653031471
242	4.651040972
243	4.646724719
244	4.642818333
245	4.638575476
246	4.630923319
247	4.626851066
248	4.626026762
249	4.624652511
250	4.62147461
251	4.616350614
252	4.613173468
253	4.610572661
254	4.605966963
255	4.602958454
256	4.596622233
257	4.59405184
258	4.591430891
259	4.586848069
260	4.584350447
261	4.57889169
262	4.575124516
263	4.569896869
264	4.568521065
265	4.562468103
266	4.557398392
267	4.553680229
268	4.549313823
269	4.541123294
270	4.539290866
271	4.535254442
272	4.530781838
273	4.527869476
274	4.525364861
275	4.523100006
276	4.518270862
277	4.516668378
278	4.515795388
279	4.509347136
280	4.504409184
281	4.50137199
282	4.496550633
283	4.493552879
284	4.49020617
285	4.48597259
286	4.482320408
287	4.476184197
288	4.469770508
289	4.467771627
290	4.463938213
291	4.458532768
292	4.457443608
293	4.453916816
294	4.447849845
295	4.442439937
296	4.440003141
297	4.438945347
298	4.434440655
299	4.429676208
300	4.428645022
301	4.426034545
302	4.424351704
303	4.420362952
304	4.413865209
305	4.410136206
306	4.40583142
307	4.404345367
308	4.402084516
309	4.396944236
310	4.392599896
311	4.391102112
312	4.387303462
313	4.38330184
314	4.378583198
315	4.376964907
316	4.372670357
317	4.365281188
318	4.363502777
319	4.35878212
320	4.355256872
321	4.349594896
322	4.345802657
323	4.340662437
324	4.338918542
325	4.335730569
326	4.334265649
327	4.33095747
328	4.327612802
329	4.326526057
330	4.322341294
331	4.319141137
332	4.317170213
333	4.310193472
334	4.306567848
335	4.302889767
336	4.299275592
337	4.296319713
338	4.293629127
339	4.287866882
340	4.286213547
341	4.280698865
342	4.276830872
343	4.271766234
344	4.270443843
345	4.268961382
346	4.267618851
347	4.263457859
348	4.258119978
349	4.254849379
350	4.248715199
351	4.243536285
352	4.237902966
353	4.235717234
354	4.232843687
355	4.22602401
356	4.221609758
357	4.220031226
358	4.21556549
359	4.214384548
360	4.211817073
361	4.211232173
362	4.207329972
363	4.202607126
364	4.197231222
365	4.192037309
366	4.186767619
367	4.183813246
368	4.181572661
369	4.180232118
370	4.177309581
371	4.171778151
372	4.167138731
373	4.162942354
374	4.16231486
375	4.159575504
376	4.154820312
377	4.149908318
378	4.149283514
379	4.148015858
380	4.142664175
381	4.139458026
382	4.134568707
383	4.132868448
384	4.131677764
385	4.130993709
386	4.127218397
387	4.126295346
388	4.122307821
389	4.119564377
390	4.115441666
391	4.112983331
392	4.111889029
393	4.106897329
394	4.105492343
395	4.104995937
396	4.102401025
397	4.098802363
398	4.096148345
399	4.092621207
400	4.087058322
401	4.086013883
402	4.081499077
403	4.076460245
404	4.0737476
405	4.069446565
406	4.068226567
407	4.065058809
408	4.062363331
409	4.058130966
410	4.056646705
411	4.055865718
412	4.04979625
413	4.046579501
414	4.04255892
415	4.037143572
416	4.033476142
417	4.029789247
418	4.027996222
419	4.024693316
420	4.023806464
421	4.019189755
422	4.017794963
423	4.012721148
424	4.011954506
425	4.006589658
426	4.005193374
427	4.004863266
428	4.002617503
429	4.001153393
430	3.997523717
431	3.994253308
432	3.989759357
433	3.988488087
434	3.984630968
435	3.979784492
436	3.978638765
437	3.974282675
438	3.971959604
439	3.970470694
440	3.965244497
441	3.963332483
442	3.962331343
443	3.961338924
444	3.957985441
445	3.952677295
446	3.949869788
447	3.948395002
448	3.943118398
449	3.941911238
450	3.940799813
451	3.937321571
452	3.936789734
453	3.935911394
454	3.93142714
455	3.929718697
456	3.926716852
457	3.922356299
458	3.922122838
459	3.918849345
460	3.913862918
461	3.912678971
462	3.910970639
463	3.908073089
464	3.905105069
465	3.903126283
466	3.90001829
467	3.89735707
468	3.892328336
469	3.891413415
470	3.889419177
471	3.884943164
472	3.884247923
473	3.880875145
474	3.87783446
475	3.875782851
476	3.871960229
477	3.869913642
478	3.869320255
479	3.863893449
480	3.863111242
481	3.86084302
482	3.858725084
483	3.856051564
484	3.853749019
485	3.852094157
486	3.847561848
487	3.844567015
488	3.843946561
489	3.841154785
490	3.837112538
491	3.834409549
492	3.833783275
493	3.829621982
494	3.825007241
495	3.822492529
496	3.821219288
497	3.81858739
498	3.816097432
499	3.814142638
500	3.813299532
501	3.812811523
502	3.809953964
503	3.808250652
504	3.804156464
505	3.801019615
506	3.799773861
507	3.796231342
508	3.795517672
509	3.794905127
510	3.793694963
511	3.789370113
512	3.788839582
513	3.784114594
514	3.780062188
515	3.776987271
516	3.774089452
517	3.773526342
518	3.77307716
519	3.771980866
520	3.769737732
521	3.766815589
522	3.764370933
523	3.76073127
524	3.757502418
525	3.756630234
526	3.754127504
527	3.751377969
528	3.750799819
529	3.748588306
530	3.745869763
531	3.743093445
532	3.740952499
533	3.738386376
534	3.734403398
535	3.731564894
536	3.729326525
537	3.728944747
538	3.727490456
539	3.724720067
540	3.723041068
541	3.719736797
542	3.719461632
543	3.716470493
544	3.714239013
545	3.711990687
546	3.707984067
547	3.703976707
548	3.701810602
549	3.697944883
550	3.697169711
551	3.696087337
552	3.694689693
553	3.692468858
554	3.691670628
555	3.689135372
556	3.687588252
557	3.685178129
558	3.682572651
559	3.678525332
560	3.676314328
561	3.672612007
562	3.670331267
563	3.669801537
564	3.667667151
565	3.66659197
566	3.666004615
567	3.663331583
568	3.661468855
569	3.660163135
570	3.658480053
571	3.656174633
572	3.655533577
573	3.65388357
574	3.65292897
575	3.651069198
576	3.647549366
577	3.64475603
578	3.64190517
579	3.640322042
580	3.639966661
581	3.638470951
582	3.636400952
583	3.634494691
584	3.632648299
585	3.630550599
586	3.629430406
587	3.62585108
588	3.622421954
589	3.621710443
590	3.619444864
591	3.616933442
592	3.616213008
593	3.614518388
594	3.613169379
595	3.611385587
596	3.610562437
597	3.607780852
598	3.604770547
599	3.604293105
600	3.59972183
601	3.595187178
602	3.594378058
603	3.593294735
604	3.590942557
605	3.587128461
606	3.586646598
607	3.58408897
608	3.581231547
609	3.580171422
610	3.578962018
611	3.578429567
612	3.574197265
613	3.571116845
614	3.568463596
615	3.568147755
616	3.565937764
617	3.564100736
618	3.562305197
619	3.560985912
620	3.557350912
621	3.555295223
622	3.554919287
623	3.553844233
624	3.552258047
625	3.548551389
626	3.547423782
627	3.544807432
628	3.544065157
629	3.541615995
630	3.538448722
631	3.538004149
632	3.535640928
633	3.535336504
634	3.532676113
635	3.529286236
636	3.527641055
637	3.524650863
638	3.5211569
639	3.518385687
640	3.515576521
641	3.512122176
642	3.510120836
643	3.505805619
644	3.504752695
645	3.503889885
646	3.502630029
647	3.5016757
648	3.500032807
649	3.498969611
650	3.498387716
651	3.496436523
652	3.493465547
653	3.493191868
654	3.491088049
655	3.488648699
656	3.486892242
657	3.484950902
658	3.481672697
659	3.480770504
660	3.478316056
661	3.474219239
662	3.473023092
663	3.469955424
664	3.469609393
665	3.46948379
666	3.469228579
667	3.46709559
668	3.463693455
669	3.461215255
670	3.457526559
671	3.454687975
672	3.452922106
673	3.44971733
674	3.446140607
675	3.44321844
676	3.440802955
677	3.439357874
678	3.435772605
679	3.433296543
680	3.432798099
681	3.432335032
682	3.430307803
683	3.428290617
684	3.426445973
685	3.425515581
686	3.42053354
687	3.417775501
688	3.416437248
689	3.41244351
690	3.411772264
691	3.409725832
692	3.408651388
693	3.406333399
694	3.404624889
695	3.40304384
696	3.401941048
697	3.401356154
698	3.397685144
699	3.394503618
700	3.391841367
701	3.391359124
702	3.388152904
703	3.385320178
704	3.382807559
705	3.380884574
706	3.378968625
707	3.378723791
708	3.376553022
709	3.376220891
710	3.375222103
711	3.372064989
712	3.36897227
713	3.366431966
714	3.366127996
715	3.364847929
716	3.364212694
717	3.361463454
718	3.360768503
719	3.3574356
720	3.355635316
721	3.355064351
722	3.353310339
723	3.352945034
724	3.348587298
725	3.345489142
726	3.342707929
727	3.341975391
728	3.339374229
729	3.338174902
730	3.335344361
731	3.335096562
732	3.332690147
733	3.329370251
734	3.328472822
735	3.324475079
736	3.321988206
737	3.321760537
738	3.320182215
739	3.318437625
740	3.316762941
741	3.312269873
742	3.31166914
743	3.311251892
744	3.308546294
745	3.305646756
746	3.304182536
747	3.300813282
748	3.296733913
749	3.296016828
750	3.295800055
751	3.29474354
752	3.293948616
753	3.292578658
754	3.289703862
755	3.285486717
756	3.284579742
757	3.283778697
758	3.282699478
759	3.280102662
760	3.278690223
761	3.276870557
762	3.276622501
763	3.274428855
764	3.272598655
765	3.271414101
766	3.268071364
767	3.266948124
768	3.266373872
769	3.265744645
770	3.265351502
771	3.262118981
772	3.260624183
773	3.259214532
774	3.257862011
775	3.25493388
776	3.253497494
777	3.250159459
778	3.249393019
779	3.248706783
780	3.247428361
781	3.245758766
782	3.245424336
783	3.242808702
784	3.241140897
785	3.23986536
786	3.239501106
787	3.235891155
788	3.231792871
789	3.231093459
790	3.23066325
791	3.228333353
792	3.226709628
793	3.224024503
794	3.221113103
795	3.21955652
796	3.218914228
797	3.215395319
798	3.214876507
799	3.212723461
800	3.211164839
801	3.208485032
802	3.207900199
803	3.207174945
804	3.206976448
805	3.205461269
806	3.203715217
807	3.20262128
808	3.202249789
809	3.200749851
810	3.200093008
811	3.197763472
812	3.196475655
813	3.196305724
814	3.194916207
815	3.193149618
816	3.192842292
817	3.192341658
818	3.19184788
819	3.18820973
820	3.186951233
821	3.186661625
822	3.183776049
823	3.181512662
824	3.179839848
825	3.178099045
826	3.177596155
827	3.176543568
828	3.174207447
829	3.171608243
830	3.170975865
831	3.170231188
832	3.167742044
833	3.167253464
834	3.165379237
835	3.163625425
836	3.16208681
837	3.16034036
838	3.158740704
839	3.158547231
840	3.157309028
841	3.156605431
842	3.155276274
843	3.152728213
844	3.150055234
845	3.148578817
846	3.148105168
847	3.146812229
848	3.145300506
849	3.142880223
850	3.142262523
851	3.139883572
852	3.137757525
853	3.135866965
854	3.133587453
855	3.132814526
856	3.130765826
857	3.129288808
858	3.129005338
859	3.128425145
860	3.127451927
861	3.127033817
862	3.124752784
863	3.12437304
864	3.122263569
865	3.120666383
866	3.119721135
867	3.117612592
868	3.116954726
869	3.116058952
870	3.115423295
871	3.113723419
872	3.109814655
873	3.109134964
874	3.106920498
875	3.104780236
876	3.103906392
877	3.102868364
878	3.101903211
879	3.101627054
880	3.100541677
881	3.099685566
882	3.099336144
883	3.098591687
884	3.097449883
885	3.09708881
886	3.096253136
887	3.095924407
888	3.092496583
889	3.090529861
890	3.089796707
891	3.088952901
892	3.08751779
893	3.086705344
894	3.086006176
895	3.083211481
896	3.082817716
897	3.08048127
898	3.078803597
899	3.078134985
900	3.07770471
901	3.075685131
902	3.075396892
903	3.074585213
904	3.072825912
905	3.071737047
906	3.071139205
907	3.070293964
908	3.068643601
909	3.068224915
910	3.067148097
911	3.066479101
912	3.063742335
913	3.062150521
914	3.060469937
915	3.057737429
916	3.055059344
917	3.053942235
918	3.053222638
919	3.052679854
920	3.049168329
921	3.048768456
922	3.047320323
923	3.046101061
924	3.045218535
925	3.042598054
926	3.041620182
927	3.040795215
928	3.038151591
929	3.037447071
930	3.036110723
931	3.035612535
932	3.034881558
933	3.033705787
934	3.032649823
935	3.030416979
936	3.02886274
937	3.028671361
938	3.028223872
939	3.028003792
940	3.025199705
941	3.022519039
942	3.022172313
943	3.021900445
944	3.020466836
945	3.018391886
946	3.017583997
947	3.016220169
948	3.014885035
949	3.014789705
950	3.013407184
951	3.010782819
952	3.010416618
953	3.007579576
954	3.007089945
955	3.006213854
956	3.004789804
957	3.002235705
958	3.001533433
959	2.999784
960	2.997432676
961	2.995633457
962	2.994297405
963	2.993209448
964	2.992024757
965	2.99021935
966	2.989329771
967	2.987532824
968	2.985994293
969	2.984827455
970	2.98463381
971	2.981482234
972	2.981282253
973	2.980308451
974	2.97868714
975	2.977516854
976	2.974341523
977	2.972494737
978	2.971910839
979	2.970028826
980	2.969459234
981	2.967801453
982	2.966463386
983	2.96619573
984	2.963449807
985	2.963322677
986	2.962669158
987	2.960971439
988	2.959645722
989	2.958504561
990	2.954929011
991	2.953895245
992	2.953742013
993	2.951948866
994	2.948669673
995	2.948228249
996	2.947455641
997	2.944822403
998	2.944586159
999	2.943931326
